pair1	pair2		all_samples
BC666_PT_WGS	BC666_P1_WGS		BC343_P5_WGS
BC666_P1_WGS	BC666_P5_WGS		BC408_PT_WGS
BC701_PT_WGS	BC701_P1_WGS		BC408_P0_WGS
BC701_P1_WGS	BC701_P5_WGS		BC408_P6_WGS
BC715_PT_WGS	BC715_P1_WGS		BC426_PT_WGS
BC715_P1_WGS	BC715_P5_WGS		BC426_P1_WGS
BC794_PT_WGS	BC794_P1_WGS		BC426_P5_WGS
BC794_P1_WGS	BC794_P5_WGS		BC430_PT_WGS
BC801_PT_WGS	BC801_P1_WGS		BC430_P0_WGS
BC801_P1_WGS	BC801_P5_WGS		BC430_P5_WGS
BC878_PT_WGS	BC878_P0_WGS		BC453_PT_WGS
BC878_P0_WGS	BC878_P5_WGS		BC453_P1_WGS
BC899_PT_WGS	BC899_P1_WGS		BC453_P4_WGS
BC899_P1_WGS	BC899_P5_WGS		BC457_PT_WGS
BC989_PT_WGS	BC989_P1_WGS		BC457_P1_WGS
BC989_P1_WGS	BC989_P5_WGS		BC457_P5_WGS
BC1006_PT_WGS	BC1006_P1_WGS		BC464_PT_WGS
BC1006_P1_WGS	BC1006_P5_WGS		BC464_P1_WGS
			BC464_P9_WGS
			BC474_PT_WGS
			BC474_P0_WGS
			BC474_P7_WGS
			BC509_PT_WGS
			BC509_P1_WGS
			BC509_P5_WGS
			BC513_PT_WGS
			BC513_P1_WGS
			BC513_P7_WGS
			BC519_PT_WGS
			BC519_P1_WGS
			BC519_P5_WGS
			BC531_PT_WGS
			BC531_P1_WGS
			BC531_P5_WGS
			BC666_PT_WGS
			BC666_P1_WGS
			BC666_P5_WGS
			BC701_PT_WGS
			BC701_P1_WGS
			BC701_P5_WGS
			BC715_PT_WGS
			BC715_P1_WGS
			BC715_P5_WGS
			BC794_PT_WGS
			BC794_P1_WGS
			BC794_P5_WGS
			BC801_PT_WGS
			BC801_P1_WGS
			BC801_P5_WGS
			BC878_PT_WGS
			BC878_P0_WGS
			BC878_P5_WGS
			BC899_PT_WGS
			BC899_P1_WGS
			BC899_P5_WGS
			BC989_PT_WGS
			BC989_P1_WGS
			BC989_P5_WGS
			BC1006_PT_WGS
			BC1006_P1_WGS
			BC1006_P5_WGS
