pair1	pair2		all_samples
CRC57_PT_WGS	CRC57_P1_WGS		CRC39_P1_WGS
CRC57_P1_WGS	CRC57_P6_WGS		CRC39_P6_WGS
CRC58_PT_WGS	CRC58_P1_WGS		CRC40_PT_WGS
CRC58_P1_WGS	CRC58_P6_WGS		CRC40_P0_WGS
CRC59_PT_WGS	CRC59_P1_WGS		CRC40_P2_WGS
CRC59_P1_WGS	CRC59_P4_WGS		CRC41_PT_WGS
CRC60_PT_WGS	CRC60_P1_WGS		CRC41_P1_WGS
CRC60_P1_WGS	CRC60_P4_WGS		CRC41_P4_WGS
CRC61_PT_WGS	CRC61_P1_WGS		CRC42_PT_WGS
CRC61_P1_WGS	CRC61_P6_WGS		CRC42_P1_WGS
CRC62_PT_WGS	CRC62_P1_WGS		CRC42_P5_WGS
CRC62_P1_WGS	CRC62_P6_WGS		CRC43_PT_WGS
CRC63_PT_WGS	CRC63_P1_WGS		CRC43_P1_WGS
CRC63_P1_WGS	CRC63_P6_WGS		CRC43_P5_WGS
CRC64_PT_WGS	CRC64_P0_WGS		CRC44_PT_WGS
CRC64_P0_WGS	CRC64_P4_WGS		CRC44_P1_WGS
CRC65_PT_WGS	CRC65_P0_WGS		CRC44_P6_WGS
CRC65_P0_WGS	CRC65_P3_WGS		CRC45_PT_WGS
CRC66_PT_WGS	CRC66_P1_WGS		CRC45_P1_WGS
CRC66_P1_WGS	CRC66_P5_WGS		CRC45_P5_WGS
CRC67_PT_WGS	CRC67_P0_WGS		CRC46_PT_WGS
CRC67_P0_WGS	CRC67_P2_WGS		CRC46_P1_WGS
CRC68_PT_WGS	CRC68_P1_WGS		CRC46_P6_WGS
CRC68_P1_WGS	CRC68_P6_WGS		CRC47_PT_WGS
CRC69_PT_WGS	CRC69_P1_WGS		CRC47_P1_WGS
CRC69_P1_WGS	CRC69_P6_WGS		CRC47_P5_WGS
CRC70_PT_WGS	CRC70_P1_WGS		CRC48_PT_WGS
CRC70_P1_WGS	CRC70_P4_WGS		CRC48_P1_WGS
