pair1	pair2	pt	all_samples
692585--246-R--AB7_P0_WES	692585--246-R--AB7IJ1NK6M780_P3_WES	692585--246-R--ORIGINATOR_PT_WES	729321--352-R--YK2_P0_WES
729321--352-R--YK2_P0_WES	729321--352-R--YK3-L_XS7_P1_WES	NA	729321--352-R--YK3-R_P0_WES
729321--352-R--YK2_P0_WES	729321--352-R--YK3-R_XS2_P1_WES	NA	729321--352-R--YK4_P0_WES
729321--352-R--YK2_P0_WES	729321--352-R--YK4WE2_P1_WES	NA	729321--352-R--YK3-L_XS7_P1_WES
729321--352-R--YK3-R_P0_WES	729321--352-R--YK3-L_XS7_P1_WES	NA	729321--352-R--YK3-R_XS2_P1_WES
729321--352-R--YK3-R_P0_WES	729321--352-R--YK3-R_XS2_P1_WES	NA	729321--352-R--YK4WE2_P1_WES
729321--352-R--YK3-R_P0_WES	729321--352-R--YK4WE2_P1_WES	NA	827478--307-R--AO2_P0_WES
729321--352-R--YK4_P0_WES	729321--352-R--YK3-L_XS7_P1_WES	NA	827478--307-R--AO2N44E18_P2_WES
729321--352-R--YK4_P0_WES	729321--352-R--YK3-R_XS2_P1_WES	NA	827478--307-R--AO2N44_RG-J23_P2_WES
729321--352-R--YK4_P0_WES	729321--352-R--YK4WE2_P1_WES	NA	827478--307-R--AO2N44E18FN0_P3_WES
827478--307-R--AO2_P0_WES	827478--307-R--AO2N44E18_P2_WES	NA	952719--076-R--ORIGINATOR_PT_WES
827478--307-R--AO2_P0_WES	827478--307-R--AO2N44_RG-J23_P2_WES	NA	952719--076-R--P53_P0_WES
827478--307-R--AO2_P0_WES	827478--307-R--AO2N44E18FN0_P3_WES	NA	952719--076-R--P56_P0_WES
952719--076-R--P53_P0_WES	952719--076-R--P53PH1_P1_WES	952719--076-R--ORIGINATOR_PT_WES	952719--076-R--P57_P0_WES
952719--076-R--P53_P0_WES	952719--076-R--P54PH6_P1_WES	952719--076-R--ORIGINATOR_PT_WES	952719--076-R--P53PH1_P1_WES
952719--076-R--P53_P0_WES	952719--076-R--P56PH7_P1_WES	952719--076-R--ORIGINATOR_PT_WES	952719--076-R--P54PH6_P1_WES
952719--076-R--P53_P0_WES	952719--076-R--P57PE2_P1_WES	952719--076-R--ORIGINATOR_PT_WES	952719--076-R--P56PH7_P1_WES
952719--076-R--P56_P0_WES	952719--076-R--P53PH1_P1_WES	952719--076-R--ORIGINATOR_PT_WES	952719--076-R--P57PE2_P1_WES
952719--076-R--P56_P0_WES	952719--076-R--P54PH6_P1_WES	952719--076-R--ORIGINATOR_PT_WES	997726--040-R--ORIGINATOR_PT_WES
952719--076-R--P56_P0_WES	952719--076-R--P56PH7_P1_WES	952719--076-R--ORIGINATOR_PT_WES	997726--040-R--X17_P0_WES
952719--076-R--P56_P0_WES	952719--076-R--P57PE2_P1_WES	952719--076-R--ORIGINATOR_PT_WES	997726--040-R--X18_P0_WES
952719--076-R--P57_P0_WES	952719--076-R--P53PH1_P1_WES	952719--076-R--ORIGINATOR_PT_WES	997726--040-R--X15W14_P1_WES
952719--076-R--P57_P0_WES	952719--076-R--P54PH6_P1_WES	952719--076-R--ORIGINATOR_PT_WES	997726--040-R--X16XX3_P1_WES
952719--076-R--P57_P0_WES	952719--076-R--P56PH7_P1_WES	952719--076-R--ORIGINATOR_PT_WES	997726--040-R--X18W29_P1_WES
952719--076-R--P57_P0_WES	952719--076-R--P57PE2_P1_WES	952719--076-R--ORIGINATOR_PT_WES	997726--040-R--X19XY3_P1_WES
997726--040-R--X17_P0_WES	997726--040-R--X15W14_P1_WES	997726--040-R--ORIGINATOR_PT_WES	
997726--040-R--X17_P0_WES	997726--040-R--X16XX3_P1_WES	997726--040-R--ORIGINATOR_PT_WES	
997726--040-R--X17_P0_WES	997726--040-R--X18W29_P1_WES	997726--040-R--ORIGINATOR_PT_WES	
997726--040-R--X17_P0_WES	997726--040-R--X19XY3_P1_WES	997726--040-R--ORIGINATOR_PT_WES	
