discordance	tfx
0.00411214953271028	0.7149
0.002616822429906542	0.8909
0.4295327102803738	0.4739
0.0033644859813084112	0.7665
0.13345794392523364	0.3084
0.20934579439252338	0.4119
0.03102803738317757	0.5923
0.014953271028037384	0.5147
0.36074766355140186	0.2948
0.026542056074766354	0.555
0.1469158878504673	0.6819
0.19700934579439253	0.8535
0.1016822429906542	0.7792
0.03925233644859813	0.265
0.23514018691588784	0.9555
0.14697083021690352	0.8453
0.02355140186915888	0.6166
0.052710280373831776	0.7742
0.2194392523364486	0.5473
0.30803738317757007	0.4757
0.24	0.645
0.16	0.4081
0.06841121495327103	0.5667
0.1932710280373832	0.5857
0.03850467289719626	0.1691
0.07177570093457944	0.4467
0.07588785046728971	0.7781
0.03588785046728972	0.6943
0.08791619902731014	0.5829
0.1835514018691589	0.7634
0.07626168224299065	0.2689
0.10990654205607477	0.8981
0.13991769547325103	0.8513
0.14130841121495327	0.6378
0.16074766355140188	0.5567
0.1469158878504673	0.7117
0.13009345794392524	0.5544
0.20261682242990653	0.2741
0.3166355140186916	0.4162
0.025046728971962615	0.2361
0.0011214953271028037	0.8052
0.2216822429906542	0.4372
0.11962616822429907	0.5111
0.22803738317757008	0.4243
0.014205607476635514	0.6938
0.1783177570093458	0.4683
0.2788785046728972	0.216
0.26953271028037384	0.2754
0.041121495327102804	0.5714
0.2792231586661781	0.6396
0.012727272727272728	0.9495
0.040763863385971356	0.5872
0.26583668985719516	1.0
0.026267785479751914	0.9778
0.08157319737800436	0.9511
0.12363238512035012	0.6602
0.029911373707533235	0.9811
0.2599118942731278	0.2955
0.3968544257498171	0.4977
0.33076074972436603	0.6396
0.011644832605531296	0.9495
0.3026607538802661	0.6463
0.021205357142857144	0.874
0.07217651458489155	0.5882
0.2725225225225225	0.46
0.10195788695973403	0.4225
0.0407717510010921	0.455
0.10197368421052631	1.0
0.041530054644808745	0.6106
0.08278867102396514	0.2897
0.018301610541727673	1.0
0.17625637290604515	0.6584
0.08743169398907104	0.6504
0.016357688113413305	1.0
0.3519328956965718	0.2921
0.25819373634377274	1.0
0.07829570284049527	1.0
0.030852994555353903	0.9469
0.012454212454212455	0.6339
0.10134398837631675	0.8958
0.12692026335040235	0.8958
0.15079941860465115	0.5108
0.015722120658135285	0.7486
0.12235208181154127	0.4126
0.058330295297119944	0.5899
0.01579140653690782	0.7132
0.0865911582024114	0.7275
0.13374635568513119	1.0
0.06318883174136664	0.912
0.14051094890510948	0.4699
0.07116788321167883	1.0
0.030540037243947857	0.2652
0.1956117515805132	0.5029
0.22652757078986588	0.4503
0.01713859910581222	0.5685
0.3510204081632653	0.1877
0.269704893537542	0.4487
0.00075046904315197	0.1228
0.21017202692595363	0.2574
0.3756115920210764	0.4597
0.13887843432442604	0.3741
0.27235469448584204	0.3945
0.2826496048174633	0.4139
0.0945292147376256	0.1885
0.19738805970149254	0.2625
0.24505781424841477	0.2499
0.0686456400742115	0.3082
