cohort	sample	pt_early	pt_late	early_late
crc	CRC68	0.02244668911335578	0.08791619902731014	0.04788627010849233
crc	CRC70	0.2119626168224299	0.1835514018691589	0.0011214953271028037
crc	CRC71	0.08785046728971962	0.07626168224299065	0.013831775700934579
crc	CRC77	0.11850467289719627	0.10990654205607477	0.02205607476635514
crc	CRC78	0.05312383090160868	0.13991769547325103	0.08897196261682243
crc	CRC80	0.019065420560747663	0.14130841121495327	0.23813084112149532
crc	CRC81	0.2291588785046729	0.16074766355140188	0.2542056074766355
crc	CRC82	0.14616822429906542	0.1469158878504673	0.18392523364485983
crc	CRC83	0.06878504672897197	0.13009345794392524	0.18542056074766355
crc	CRC85	0.015700934579439253	0.20261682242990653	0.11102803738317757
crc	CRC86	0.30654205607476637	0.3166355140186916	0.06990654205607477
crc	CRC87	0.0725233644859813	0.025046728971962615	0.09196261682242991
crc	CRC88	0.0007476635514018691	0.0011214953271028037	0.001869158878504673
crc	CRC89	0.12710280373831775	0.2216822429906542	0.1914018691588785
crc	CRC92	0.10504672897196261	0.11962616822429907	0.002616822429906542
crc	CRC93	0.22280373831775702	0.22803738317757008	0.002616822429906542
crc	CRC94	0.1674766355140187	0.014205607476635514	0.15700934579439252
crc	CRC95	0.21719626168224299	0.1783177570093458	0.21794392523364486
crc	CRC97	0.24485981308411214	0.2788785046728972	0.11962616822429907
crc	CRC99	0.06504672897196262	0.26953271028037384	0.09869158878504673
crc	CRC100	0.0014958863126402393	0.041121495327102804	0.0007479431563201197
